Test	Cpx	Angle	Inter	Dist	Minimizer	RMSD
1000	1QDL	30	1i1q_CB	normal	0	63.45185659743706
1000	1QDL	30	1i1q_CB	normal	0	64.69024335060497
1000	1QDL	30	1i1q_CB	normal	0	65.2188449189717
1000	1QDL	30	1i1q_CB	normal	0	53.52967832599929
1000	1QDL	30	1i1q_DB	normal	0	20.53576718806927
1000	1QDL	30	1i1q_CB	normal	0	60.225355865090776
1000	1QDL	30	1i1q_DB	normal	0	19.33480807711714
1000	1QDL	30	1i1q_CB	normal	0	58.163178531099405
1000	1QDL	30	1i1q_CB	normal	0	72.1260435183128
1000	1QDL	30	1i1q_DB	normal	0	29.671716155088188
1000	1QDL	30	1i1q_CB	normal	0	55.47182904588537
1000	1QDL	30	1i1q_DB	normal	0	20.511012499516596
1000	1QDL	30	1i1q_DB	normal	0	21.100868324068955
1000	1QDL	30	1i1q_CB	normal	0	55.454949100309186
1000	1QDL	30	1i1q_DB	normal	0	21.54889999708966
1000	1QDL	30	1i1q_DB	normal	0	26.09142055744793
1000	1QDL	30	1i1q_DB	normal	0	20.242974826261477
1000	1QDL	30	1i1q_CB	normal	0	65.95528989422294
1000	1QDL	30	1i1q_DB	normal	0	21.45224131930488
1000	1QDL	30	1i1q_DB	normal	0	20.643707600036162
1000	1QDL	30	1i1q_DB	normal	0	22.971794092993076
1000	1QDL	30	1i1q_CB	normal	0	62.33184186855282
1000	1QDL	30	1i1q_CB	normal	0	81.99614301099258
1000	1QDL	30	1i1q_CB	normal	0	71.07205597839057
1000	1QDL	30	1i1q_CB	normal	0	64.5158155151552
1000	1QDL	30	1i1q_DB	normal	0	19.360548041270945
1000	1QDL	30	1i1q_DB	normal	0	23.47610939984009
1000	1QDL	30	1i1q_DB	normal	0	20.507027935268813
1000	1QDL	30	1i1q_DB	normal	0	23.838705452574725
1000	1QDL	30	1i1q_DB	normal	0	28.631357183105138
1000	1QDL	30	1i1q_CB	normal	0	59.59608002746836
1000	1QDL	30	1i1q_DB	normal	0	20.403502085851187
1000	1QDL	30	1i1q_CB	normal	0	86.38158991129026
1000	1QDL	30	1i1q_CB	normal	0	63.833295207373034
1000	1QDL	30	1i1q_DB	normal	0	23.518784735561947
1000	1QDL	30	1i1q_CB	normal	0	66.6956224175057
1000	1QDL	30	1i1q_CB	normal	0	61.51501283226226
1000	1QDL	30	1i1q_DB	normal	0	22.46135539001924
1000	1QDL	30	1i1q_DB	normal	0	26.369548368282526
1000	1QDL	30	1i1q_CB	normal	0	59.69851501634048
1000	1QDL	30	1i1q_CB	normal	0	67.80740262635204
1000	1QDL	30	1i1q_CB	normal	0	63.42187342159926
1000	1QDL	30	1i1q_DB	normal	0	20.300504711547852
1000	1QDL	30	1i1q_CB	normal	0	70.72904977650472
1000	1QDL	30	1i1q_CB	normal	0	83.7772535410606
1000	1QDL	30	1i1q_DB	normal	0	24.498776190156207
1000	1QDL	30	1i1q_CB	normal	0	64.6011156613073
1000	1QDL	30	1i1q_CB	normal	0	70.27020251027267
1000	1QDL	30	1i1q_DB	normal	0	25.732700703021276
1000	1QDL	30	1i1q_DB	normal	0	21.58441984238201
1000	1QDL	30	1i1q_DB	normal	0	24.64512395544426
1000	1QDL	30	1i1q_CB	normal	0	59.5272928859464
1000	1QDL	30	1i1q_DB	normal	0	23.250541019771397
1000	1QDL	30	1i1q_DB	normal	0	20.993757798642665
1000	1QDL	30	1i1q_DB	normal	0	19.33490365611425
1000	1QDL	30	1i1q_DB	normal	0	16.77576864764097
1000	1QDL	30	1i1q_DB	normal	0	20.90356565597445
1000	1QDL	30	1i1q_DB	normal	0	24.54617170581256
1000	1QDL	30	1i1q_CB	normal	0	76.27405137001958
1000	1QDL	30	1i1q_DB	normal	0	23.984714454317196
1000	1QDL	30	1i1q_CB	normal	0	61.01845570288876
1000	1QDL	30	1i1q_DB	normal	0	22.85099597384701
1000	1QDL	30	1i1q_DB	normal	0	21.083260858342495
1000	1QDL	30	1i1q_DB	normal	0	21.994503552779893
1000	1QDL	30	1i1q_DB	normal	0	22.047931077362428
1000	1QDL	30	1i1q_CB	normal	0	73.4697043225751
1000	1QDL	30	1i1q_CB	normal	0	63.89065436233219
1000	1QDL	30	1i1q_DB	normal	0	26.666138763312212
1000	1QDL	30	1i1q_CB	normal	0	78.82178794358593
1000	1QDL	30	1i1q_DB	normal	0	20.245160271825252
1000	1QDL	30	1i1q_DB	normal	0	24.417674301650532
1000	1QDL	30	1i1q_DB	normal	0	14.347267590961785
1000	1QDL	30	1i1q_CB	normal	0	85.48361312361293
1000	1QDL	30	1i1q_CB	normal	0	64.73901533598837
1000	1QDL	30	1i1q_CB	normal	0	56.216303963681135
1000	1QDL	30	1i1q_CB	normal	0	61.613205736171516
1000	1QDL	30	1i1q_DB	normal	0	27.76403799161321
1000	1QDL	30	1i1q_DB	normal	0	22.043788654143246
1000	1QDL	30	1i1q_DB	normal	0	23.713736197585494
1000	1QDL	30	1i1q_DB	normal	0	23.29821058872418
1000	1QDL	30	1i1q_CB	normal	0	56.067556700825286
1000	1QDL	30	1i1q_DB	normal	0	19.695164611159875
1000	1QDL	30	1i1q_CB	normal	0	61.76113471946596
1000	1QDL	30	1i1q_DB	normal	0	21.47905350599123
1000	1QDL	30	1i1q_DB	normal	0	19.872261622950084
1000	1QDL	30	1i1q_CB	normal	0	70.8112329215334
1000	1QDL	30	1i1q_DB	normal	0	23.01345760012428
1000	1QDL	30	1i1q_DB	normal	0	22.18672046164382
1000	1QDL	30	1i1q_CB	normal	0	66.56546289175934
1000	1QDL	30	1i1q_CB	normal	0	60.38140937619499
1000	1QDL	30	1i1q_CB	normal	0	58.59468986333247
1000	1QDL	30	1i1q_DB	normal	0	23.29910734280596
1000	1QDL	30	1i1q_DB	normal	0	19.817302686806386
1000	1QDL	30	1i1q_DB	normal	0	20.729642532257305
1000	1QDL	30	1i1q_CB	normal	0	77.1298451331773
1000	1QDL	30	1i1q_CB	normal	0	62.24292965803511
1000	1QDL	30	1i1q_DB	normal	0	22.984595376899016
1000	1QDL	30	1i1q_CB	normal	0	66.54755873734165
1000	1QDL	30	1i1q_DB	normal	0	26.839882290020505
1000	1QDL	30	1i1q_DB	normal	0	21.359693517255
1000	1QDL	30	1i1q_CB	normal	0	78.77324335521426
1000	1QDL	30	1i1q_CB	normal	0	60.71430033337776
1000	1QDL	30	1i1q_DB	normal	0	26.59983998035764
1000	1QDL	30	1i1q_CB	normal	0	74.89460142253348
1000	1QDL	30	1i1q_DB	normal	0	25.522761871135046
1000	1QDL	30	1i1q_DB	normal	0	22.709659447542798
1000	1QDL	30	1i1q_CB	normal	0	71.30697808025087
1000	1QDL	30	1i1q_CB	normal	0	74.1183753931895
1000	1QDL	30	1i1q_DB	normal	0	21.141444703895008
1000	1QDL	30	1i1q_CB	normal	0	75.78523713075319
1000	1QDL	30	1i1q_DB	normal	0	22.280474536826738
1000	1QDL	30	1i1q_DB	normal	0	23.523407624229293
1000	1QDL	30	1i1q_DB	normal	0	23.54280720211803
1000	1QDL	30	1i1q_CB	normal	0	69.46707396136237
1000	1QDL	30	1i1q_DB	normal	0	20.751932143960797
1000	1QDL	30	1i1q_CB	normal	0	69.7171051885467
1000	1QDL	30	1i1q_DB	normal	0	21.011778217802327
1000	1QDL	30	1i1q_CB	normal	0	58.76378936563553
1000	1QDL	30	1i1q_CB	normal	0	59.20475721277496
1000	1QDL	30	1i1q_DB	normal	0	23.87328502405768
1000	1QDL	30	1i1q_DB	normal	0	20.98425619029442
1000	1QDL	30	1i1q_CB	normal	0	65.75127715767748
1000	1QDL	30	1i1q_DB	normal	0	28.468781843747404
1000	1QDL	30	1i1q_CB	normal	0	61.946378331223436
1000	1QDL	30	1i1q_CB	normal	0	76.44329384170088
1000	1QDL	30	1i1q_DB	normal	0	26.526811027728893
1000	1QDL	30	1i1q_CB	normal	0	68.17288626305744
1000	1QDL	30	1i1q_CB	normal	0	59.42431130205084
1000	1QDL	30	1i1q_DB	normal	0	22.409661443009718
1000	1QDL	30	1i1q_DB	normal	0	23.2997744249811
1000	1QDL	30	1i1q_DB	normal	0	24.051222878949122
1000	1QDL	30	1i1q_CB	normal	0	62.205634590864534
1000	1QDL	30	1i1q_DB	normal	0	22.52976831148384
1000	1QDL	30	1i1q_CB	normal	0	65.83005647151803
1000	1QDL	30	1i1q_CB	normal	0	73.59165399965829
1000	1QDL	30	1i1q_CB	normal	0	62.69320099071536
1000	1QDL	30	1i1q_CB	normal	0	80.7375054097748
1000	1QDL	30	1i1q_DB	normal	0	25.42530773817733
1000	1QDL	30	1i1q_DB	normal	0	24.330558089816
1000	1QDL	30	1i1q_DB	normal	0	24.478646859886403
1000	1QDL	30	1i1q_CB	normal	0	58.956467513174665
1000	1QDL	30	1i1q_DB	normal	0	29.413169106183506
1000	1QDL	30	1i1q_CB	normal	0	65.42374142547311
